order,epid,tid,name,category,skid,sid
0,20210410,202104101,Eye On Minnesota,Cold Opening,,46
1,20210410,202104102,,Monologue,,46
2,20210410,202104103,What's Wrong With This Picture,Game Show,300.0,46
3,20210410,202104104,Tremfalta,Commercial,,46
4,20210410,202104105,Study Buddy,Sketch,,46
5,20210410,202104106,Weird Little Flute,Music Video,,46
6,20210410,202104107,"""Tequila Shots""",Musical Performance,,46
7,20210410,202104108,,Weekend Update,,46
8,20210410,202104109,,In Memoriam,,46
9,20210410,2021041010,Starcharter Andromeda,Show,,46
10,20210410,2021041011,Lesbian Period Drama,Commercial,,46
11,20210410,2021041012,The War In Words,Show,298.0,46
12,20210410,2021041013,"""Sad People""",Musical Performance,,46
13,20210410,2021041014,L'eggs,Sketch,,46
14,20210410,2021041015,,In Memoriam,,46
15,20210410,2021041016,,Goodnights,,46
0,20210403,202104031,"Oops, You Did It Again",Cold Opening,303.0,46
1,20210403,202104032,,Monologue,,46
2,20210403,202104033,Will You Take It?,Game Show,,46
3,20210403,202104034,Viral Apology Video,Film,,46
4,20210403,202104035,Scattergories,Sketch,,46
5,20210403,202104036,Proud Parents,Sketch,,46
6,20210403,202104037,"""Pay Your Way In Pain""",Musical Performance,,46
7,20210403,202104038,,Weekend Update,,46
8,20210403,202104039,Frat Trip,Sketch,,46
9,20210403,2021040310,Dog Park,Sketch,,46
10,20210403,2021040311,"""The Melting Of The Sun""",Musical Performance,,46
11,20210403,2021040312,Half Brother,Sketch,,46
12,20210403,2021040313,,Goodnights,,46
0,20210327,202103271,Snatched! Vaxed! Or Waxed!,Cold Opening,,46
1,20210327,202103272,,Monologue,,46
2,20210327,202103273,Hot Ones,Show,,46
3,20210327,202103274,Boomers Got The Vax,Music Video,,46
4,20210327,202103275,A Kamala Harris Unity Seder,Sketch,,46
5,20210327,202103276,NFTs,Music Video,,46
6,20210327,202103277,"""Tyler Herro"", ""WHATS POPPIN""",Musical Performance,,46
7,20210327,202103278,,Weekend Update,,46
8,20210327,202103279,Choreographers,Sketch,,46
9,20210327,2021032710,2021 Barfly Awards,Award Show,,46
10,20210327,2021032711,"""Same Guy""",Musical Performance,,46
11,20210327,2021032712,The Maya-ing,Film,,46
12,20210327,2021032713,,Goodnights,,46
0,20210227,202102271,So You Think You Can Get The Vaccine,Cold Opening,,46
1,20210227,202102272,,Monologue,,46
2,20210227,202102273,Workout Mirror,Sketch,,46
3,20210227,202102274,Murder Show,Music Video,,46
4,20210227,202102275,Cinderella,Sketch,,46
5,20210227,202102276,Bachelor Party,Film,,46
6,20210227,202102277,"""Spaceman""",Musical Performance,,46
7,20210227,202102278,,Weekend Update,,46
8,20210227,202102279,Viking Voyager,Sketch,,46
9,20210227,2021022710,The Dionne Warwick Talk Show,Show,302.0,46
10,20210227,2021022711,"""This Is Heaven""",Musical Performance,,46
11,20210227,2021022712,Dating After Lockdown,Sketch,,46
12,20210227,2021022713,,Goodnights,,46
0,20210220,202102201,"Oops, You Did It Again",Cold Opening,303.0,46
1,20210220,202102202,,Monologue,,46
2,20210220,202102203,Actors Spotlight,Show,,46
3,20210220,202102204,Loco,Music Video,,46
4,20210220,202102205,Drivers License,Sketch,,46
5,20210220,202102206,Mr. Chicken Legs Pageant,Show,,46
6,20210220,202102207,The Job Interview,Film,,46
7,20210220,202102208,"""La Noche de Anoche""",Musical Performance,,46
8,20210220,202102209,,Weekend Update,,46
9,20210220,2021022010,Songs Of The Sea,Show,,46
10,20210220,2021022011,Let's Say Grace,Sketch,,46
11,20210220,2021022012,Intimacy Coordinators,Sketch,,46
12,20210220,2021022013,"""Te Deseo lo Mejor""",Musical Performance,,46
13,20210220,2021022014,The Grocery Rap,Music Video,,46
14,20210220,2021022015,,Goodnights,,46
0,20210213,202102131,Tucker Carlson Tonight,Cold Opening,299.0,46
1,20210213,202102132,,Monologue,,46
2,20210213,202102133,What's Your Type?,Game Show,,46
3,20210213,202102134,Pelotaunt,Commercial,,46
4,20210213,202102135,Commode & Commode,Commercial,,46
5,20210213,202102136,Birthday Gifts,Sketch,,46
6,20210213,202102137,The Negotiator,Film,,46
7,20210213,202102138,"""Redemption""",Musical Performance,,46
8,20210213,202102139,,Weekend Update,,46
9,20210213,2021021310,Disco Queen,Sketch,,46
10,20210213,2021021311,Women's Theatre,Sketch,,46
11,20210213,2021021312,"""A Little Honey""",Musical Performance,,46
12,20210213,2021021313,,Goodnights,,46
0,20210206,202102061,Super Bowl LV,Cold Opening,,46
1,20210206,202102062,,Monologue,,46
2,20210206,202102063,Universal Studios Tram Tour,Sketch,,46
3,20210206,202102064,Zillow,Commercial,,46
4,20210206,202102065,Super Bowl Pod,Sketch,,46
5,20210206,202102066,Lifting Our Voices,Show,,46
6,20210206,202102067,"""Kyoto""",Musical Performance,,46
7,20210206,202102068,,Weekend Update,,46
8,20210206,202102069,Hot Damn,Sketch,,46
9,20210206,2021020610,Wedding Friends,Sketch,,46
10,20210206,2021020611,"""I Know The End""",Musical Performance,,46
11,20210206,2021020612,It Gets Better,Commercial,,46
12,20210206,2021020613,,Goodnights,,46
0,20210130,202101301,What Still Works?,Cold Opening,,46
1,20210130,202101302,,Monologue,,46
2,20210130,202101303,Blue Georgia,Sketch,,46
3,20210130,202101304,The Loser,Film,,46
4,20210130,202101305,The Dividend,Show,,46
5,20210130,202101306,Now That's What I Call Theme Songs Sung By The Stars Of The Show,Commercial,,46
6,20210130,202101307,Pandemic Game Night,Sketch,,46
7,20210130,202101308,"""My Ex's Best Friend""",Musical Performance,,46
8,20210130,202101309,,Weekend Update,,46
9,20210130,2021013010,Supermarket Sweep,Game Show,,46
10,20210130,2021013011,Subway Pitch,Sketch,,46
11,20210130,2021013012,"""Lonely""",Musical Performance,,46
12,20210130,2021013013,Ratatouille,Sketch,,46
13,20210130,2021013014,,In Memoriam,,46
14,20210130,2021013015,,Goodnights,,46
0,20201219,202012191,Pence Gets The Vaccine,Cold Opening,,46
1,20201219,202012192,,Monologue,,46
2,20201219,202012193,Secret Word,Game Show,250.0,46
3,20201219,202012194,Christmas Morning,Music Video,,46
4,20201219,202012195,U.S.O. Performance,Sketch,,46
5,20201219,202012196,A Teacher,Commercial,,46
6,20201219,202012197,Home Alone 2,Sketch,,46
7,20201219,202012198,"""Don't Start Now""",Musical Performance,,46
8,20201219,202012199,,Weekend Update,,46
9,20201219,2020121910,The Grinch,Sketch,,46
10,20201219,2020121911,Surprise,Sketch,,46
11,20201219,2020121912,"""Levitating""",Musical Performance,,46
12,20201219,2020121913,,Goodnights,,46
0,20201212,202012121,The Situation Room,Cold Opening,233.0,46
1,20201212,202012122,,Monologue,,46
2,20201212,202012123,A Rona Family Christmas,Sketch,,46
3,20201212,202012124,Lexus,Commercial,,46
4,20201212,202012125,The Dionne Warwick Talk Show,Show,302.0,46
5,20201212,202012126,The Farm,Film,,46
6,20201212,202012127,"""Ghosts""",Musical Performance,,46
7,20201212,202012128,,Weekend Update,,46
8,20201212,202012129,Holiday Baking Championship,Show,301.0,46
9,20201212,2020121210,XXX Rap Roundtable,Show,,46
10,20201212,2020121211,"""I'll See You In My Dreams""",Musical Performance,,46
11,20201212,2020121212,Sportsmax,Commercial,,46
12,20201212,2020121213,,Goodnights,,46
0,20201205,202012051,Michigan Election Hearing,Cold Opening,,46
1,20201205,202012052,,Monologue,,46
2,20201205,202012053,Sleepover,Sketch,,46
3,20201205,202012054,Stu,Film,,46
4,20201205,202012055,Outdoor Cabaret,Sketch,,46
5,20201205,202012056,The Christmas Conversation,Film,,46
6,20201205,202012057,Morgan Wallen Party,Sketch,,46
7,20201205,202012058,"""7 Summers""",Musical Performance,,46
8,20201205,202012059,,Weekend Update,,46
9,20201205,2020120510,Santa's Village,Sketch,,46
10,20201205,2020120511,"""Still Goin Down""",Musical Performance,,46
11,20201205,2020120512,Bits,Film,,46
12,20201205,2020120513,,Goodnights,,46
0,20201107,202011071,Biden Victory,Cold Opening,,46
1,20201107,202011072,,Monologue,,46
2,20201107,202011073,Fired Mascots,Sketch,,46
3,20201107,202011074,Mario Memories,Miscellaneous,,46
4,20201107,202011075,Take Me Back,Film,,46
5,20201107,202011076,"""Shame Shame""",Musical Performance,,46
6,20201107,202011077,,Weekend Update,,46
7,20201107,202011078,News Center 5 Albany,Show,,46
8,20201107,202011079,DC Morning,Show,,46
9,20201107,2020110710,"""Times Like These""",Musical Performance,,46
10,20201107,2020110711,,Goodnights,,46
0,20201031,202010311,A Holiday Message from former Vice President Joe Biden,Cold Opening,,46
1,20201031,202010312,,Monologue,,46
2,20201031,202010313,Cinema Classics - The Birds,Show,275.0,46
3,20201031,202010314,Strollin',Music Video,,46
4,20201031,202010315,Sleepy Hollow,Sketch,,46
5,20201031,202010316,New York PSA,Miscellaneous,,46
6,20201031,202010317,"""The Adults Are Talking""",Musical Performance,,46
7,20201031,202010318,,Weekend Update,,46
8,20201031,202010319,Souvenir Underwear,Musical Sketch,,46
9,20201031,2020103110,"""Bad Decisions""",Musical Performance,,46
10,20201031,2020103111,Uncle Meme,Sketch,,46
11,20201031,2020103112,,Goodnights,,46
0,20201024,202010241,The Presidential Debate,Cold Opening,,46
1,20201024,202010242,,Monologue,,46
2,20201024,202010243,Psychic Reading,Sketch,,46
3,20201024,202010244,The Haunted Manor,Film,,46
4,20201024,202010245,The Bachelor,Show,,46
5,20201024,202010246,Trump Addicts of America,Commercial,,46
6,20201024,202010247,"""Damage""",Musical Performance,,46
7,20201024,202010248,,Weekend Update,,46
8,20201024,202010249,Visiting Grandma,Sketch,,46
9,20201024,2020102410,Tourism Board of Africa,Commercial,,46
10,20201024,2020102411,"""Hold On""",Musical Performance,,46
11,20201024,2020102412,Ass Angel Perfumed Jeans,Commercial,,46
12,20201024,2020102413,,Goodnights,,46
0,20201017,202010171,Dueling Town Halls,Cold Opening,,46
1,20201017,202010172,,Monologue,,46
2,20201017,202010173,Bonjour Hi!,Show,,46
3,20201017,202010174,5-hour Empathy,Commercial,,46
4,20201017,202010175,First Date Exes,Sketch,,46
5,20201017,202010176,"""Holy""",Musical Performance,,46
6,20201017,202010177,,Weekend Update,,46
7,20201017,202010178,Your Voice Chicago,Show,,46
8,20201017,202010179,Dancer,Film,,46
9,20201017,2020101710,"""Lonely""",Musical Performance,,46
10,20201017,2020101711,Jack Flatts,Commercial,,46
11,20201017,2020101712,eBay,Commercial,,46
12,20201017,2020101713,,Goodnights,,46
0,20201010,202010101,Vice Presidential Debate,Cold Opening,,46
1,20201010,202010102,,Monologue,,46
2,20201010,202010103,New Normal,Sketch,,46
3,20201010,202010104,The Blitz,Show,,46
4,20201010,202010105,Enough is Enough,Film,,46
5,20201010,202010106,"""Ball and Biscuit"", ""Don't Hurt Yourself"", ""Jesus Is Coming Soon""",Musical Performance,,46
6,20201010,202010107,,Weekend Update,,46
7,20201010,202010108,Don Pauly,Sketch,,46
8,20201010,202010109,Samuel Adams Jack-O Pumpkin Ale,Commercial,,46
9,20201010,2020101010,"""Lazaretto""",Musical Performance,,46
10,20201010,2020101011,,In Memoriam,,46
11,20201010,2020101012,,Goodnights,,46
0,20201003,202010031,The Presidential Debate,Cold Opening,,46
1,20201003,202010032,,Monologue,,46
2,20201003,202010033,Action 9 News At Five - Eye On Pittsburgh,Show,289.0,46
3,20201003,202010034,Bottom of Your Face,Music Video,,46
4,20201003,202010035,Future Ghost,Sketch,,46
5,20201003,202010036,The Drew Barrymore Show,Commercial,,46
6,20201003,202010037,"""Savage""",Musical Performance,,46
7,20201003,202010038,,Weekend Update,,46
8,20201003,202010039,NBA Bubble Draft Finals,Show,,46
9,20201003,2020100310,Stunt Performers Association Of America,Commercial,,46
10,20201003,2020100311,"""Don't Stop""",Musical Performance,,46
11,20201003,2020100312,,Goodnights,,46
0,20200509,202005091,Virtual Graduation,Cold Opening,,45
1,20200509,202005092,,Monologue,,45
2,20200509,202005093,Italian Vacation,Sketch,,45
3,20200509,202005094,Let Kids Drink,Music Video,,45
4,20200509,202005095,MasterClass Quarantine Edition,Commercial,,45
5,20200509,202005096,Zoom Church,Sketch,,45
6,20200509,202005097,Danny Trejo,Music Video,,45
7,20200509,202005098,Bouncy Waves With PJ Charnt,Sketch,,45
8,20200509,202005099,,Intro,,45
9,20200509,2020050910,"""A Song for Mama""",Musical Performance,,45
10,20200509,2020050911,,Weekend Update,,45
11,20200509,2020050912,What's Wrong With This Picture,Game Show,300.0,45
12,20200509,2020050913,Eleanor's House,Sketch,,45
13,20200509,2020050914,Dad Pranks,Sketch,,45
14,20200509,2020050915,Lighthouse Keeper,Sketch,,45
15,20200509,2020050916,,In Memoriam,,45
16,20200509,2020050917,Beer Money,Sketch,,45
17,20200509,2020050918,Dreams,Film,,45
18,20200509,2020050919,,Goodnights,,45
0,20200425,202004251,A Message from Dr. Anthony Fauci,Cold Opening,,45
1,20200425,202004252,What Up With That?,Show,249.0,45
2,20200425,202004253,In Depth with Brian Sutter,Show,,45
3,20200425,202004254,Stuck in the House,Music Video,,45
4,20200425,202004255,Bartenson's Grocery Store,Commercial,,45
5,20200425,202004256,Big Dominican Lunch,Show,,45
6,20200425,202004257,Airbnb,Commercial,,45
7,20200425,202004258,Released Early,Sketch,,45
8,20200425,202004259,"""Wish You Were Here""",Musical Performance,,45
9,20200425,2020042510,,Weekend Update,,45
10,20200425,2020042511,SoulCycle Virtual Workouts,Sketch,,45
11,20200425,2020042512,OJ Address,Sketch,,45
12,20200425,2020042513,FaceTime,Sketch,,45
13,20200425,2020042514,The Reveal,Sketch,,45
14,20200425,2020042515,Pornhub,Commercial,,45
15,20200425,2020042516,Whiskers R' We,Commercial,,45
16,20200425,2020042517,What's My Name?,Music Video,,45
17,20200425,2020042518,Melissa's Big Date,Sketch,,45
18,20200425,2020042519,Aidy's Real Journals,Miscellaneous,,45
0,20200411,202004111,,Cold Opening,,45
1,20200411,202004112,,Monologue,,45
2,20200411,202004113,Drake Song,Music Video,,45
3,20200411,202004114,Working Out at Home with RBG,Sketch,,45
4,20200411,202004115,Zoom Call,Sketch,,45
5,20200411,202004116,A Message from Senator Bernie Sanders,Miscellaneous,,45
6,20200411,202004117,MasterClass Quarantine Edition,Commercial,,45
7,20200411,202004118,"""Shelter from the Storm""",Musical Performance,,45
8,20200411,202004119,,Weekend Update,,45
9,20200411,2020041110,Bailey at the Movies,Sketch,,45
10,20200411,2020041111,Middle-Aged Mutant Ninja Turtles,Cartoon,,45
11,20200411,2020041112,Cam Playz Dat,Sketch,,45
12,20200411,2020041113,Sky Sport Report,Show,,45
13,20200411,2020041114,Whatcha' Cookin' On,Miscellaneous,,45
14,20200411,2020041115,Visualizations with Aidy,Miscellaneous,,45
15,20200411,2020041116,How Low Will You Go?,Game Show,,45
16,20200411,2020041117,Quarantine QT,Miscellaneous,,45
17,20200411,2020041118,$2000,Music Video,,45
18,20200411,2020041119,Hal Willner Tribute,Miscellaneous,,45
19,20200411,2020041120,,Goodnights,,45
0,20200307,202003071,The Ingraham Angle,Cold Opening,297.0,45
1,20200307,202003072,,Monologue,,45
2,20200307,202003073,The Sands of Modesto,Show,,45
3,20200307,202003074,On The Couch,Music Video,,45
4,20200307,202003075,The Deirdre Show,Show,,45
5,20200307,202003076,Debbie Downer,Sketch,222.0,45
6,20200307,202003077,"""Blinding Lights""",Musical Performance,,45
7,20200307,202003078,,Weekend Update,,45
8,20200307,202003079,Accent Coach,Sketch,,45
9,20200307,2020030710,Deep Quote,Sketch,,45
10,20200307,2020030711,"""Scared to Live""",Musical Performance,,45
11,20200307,2020030712,Overnight Salad,Music Video,,45
12,20200307,2020030713,,Goodnights,,45
0,20200229,202002291,White House Press Conference,Cold Opening,,45
1,20200229,202002292,,Monologue,,45
2,20200229,202002293,The Sound of Music,Show,,45
3,20200229,202002294,Uncle Meme,Sketch,,45
4,20200229,202002295,Kyle's Transformation,Film,,45
5,20200229,202002296,"Say, Those Two Don't Seem To Like Each Other",Show,,45
6,20200229,202002297,"""Once in a Lifetime""",Musical Performance,,45
7,20200229,202002298,,Weekend Update,,45
8,20200229,202002299,Airport Sushi,Musical Sketch,,45
9,20200229,2020022910,"""Toe Jam""",Musical Performance,,45
10,20200229,2020022911,Forgotten Figures Of Black History,Show,,45
11,20200229,2020022912,,Goodnights,,45
0,20200208,202002081,Democratic Debate,Cold Opening,,45
1,20200208,202002082,,Monologue,,45
2,20200208,202002083,Family Charades,Sketch,,45
3,20200208,202002084,The Queen,Film,,45
4,20200208,202002085,Check Splitting,Sketch,,45
5,20200208,202002086,Boop-It,Commercial,,45
6,20200208,202002087,Reading,Sketch,,45
7,20200208,202002088,"""Yummy""",Musical Performance,,45
8,20200208,202002089,,Weekend Update,,45
9,20200208,2020020810,Thirsty Cops,Sketch,296.0,45
10,20200208,2020020811,The Old New York Show,Show,,45
11,20200208,2020020812,"""Intentions""",Musical Performance,,45
12,20200208,2020020813,,Goodnights,,45
0,20200201,202002011,The Trial You Wish Had Happened,Cold Opening,,45
1,20200201,202002012,,Monologue,,45
2,20200201,202002013,Frozen II,Sketch,,45
3,20200201,202002014,Robbie,Film,,45
4,20200201,202002015,Sex Talk,Sketch,,45
5,20200201,202002016,Olay Eye Black,Commercial,,45
6,20200201,202002017,"""Lovin' On You""",Musical Performance,,45
7,20200201,202002018,,Weekend Update,,45
8,20200201,202002019,Pilot Hunk,Show,,45
9,20200201,2020020110,Madden 21,Sketch,,45
10,20200201,2020020111,Food Dudes,Commercial,,45
11,20200201,2020020112,"""Beer Never Broke My Heart""",Musical Performance,,45
12,20200201,2020020113,My Fair Bigfoot,Sketch,,45
13,20200201,2020020114,Big Willie's Pizza,Sketch,,45
14,20200201,2020020115,,Goodnights,,45
0,20200125,202001251,Dershowitz in Hell,Cold Opening,,45
1,20200125,202001252,,Monologue,,45
2,20200125,202001253,Sleepover,Sketch,,45
3,20200125,202001254,Undercover Boss: Where Are They Now?,Show,,45
4,20200125,202001255,Del Taco Commercial Shoot,Sketch,,45
5,20200125,202001256,The Science Room,Show,295.0,45
6,20200125,202001257,Slow,Music Video,,45
7,20200125,202001258,"""You Should Be Sad""",Musical Performance,,45
8,20200125,202001259,,Weekend Update,,45
9,20200125,2020012510,,In Memoriam,,45
10,20200125,2020012511,Medieval Times,Sketch,,45
11,20200125,2020012512,Cheer,Sketch,,45
12,20200125,2020012513,Marrying Ketchups,Sketch,,45
13,20200125,2020012514,"""Finally // Beautiful Stranger""",Musical Performance,,45
14,20200125,2020012515,,Goodnights,,45
0,20191221,201912211,Democratic Debate,Cold Opening,,45
1,20191221,201912212,,Monologue,,45
2,20191221,201912213,Mister Robinson's Neighborhood,Show,32.0,45
3,20191221,201912214,Holiday Baking Championship,Show,301.0,45
4,20191221,201912215,Home for the Holidays,Film,,45
5,20191221,201912216,The Masked Singer,Show,,45
6,20191221,201912217,"""Truth Hurts""",Musical Performance,,45
7,20191221,201912218,,Weekend Update,,45
8,20191221,201912219,Black Jeopardy!,Game Show,279.0,45
9,20191221,2019122110,"""Good As Hell""",Musical Performance,,45
10,20191221,2019122111,North Pole News Special Report,Show,,45
11,20191221,2019122112,,Goodnights,,45
0,20191214,201912141,American Households,Cold Opening,,45
1,20191214,201912142,,Monologue,,45
2,20191214,201912143,Singing Elves,Sketch,,45
3,20191214,201912144,Macy's,Commercial,,45
4,20191214,201912145,Office Apology,Sketch,,45
5,20191214,201912146,A Conway Marriage Story,Film,,45
6,20191214,201912147,"""Nice To Meet Ya""",Musical Performance,,45
7,20191214,201912148,,Weekend Update,,45
8,20191214,201912149,Hot Tub Christmas,Sketch,,45
9,20191214,2019121410,A Winter Boyfriend For Holiday Christmas,Game Show,,45
10,20191214,2019121411,I Saw Mommy Kissing Santa Claus,Music Video,,45
11,20191214,2019121412,"""Put A Little Love On Me""",Musical Performance,,45
12,20191214,2019121413,Celebrity Sighting,Sketch,,45
13,20191214,2019121414,Pet Translator,Sketch,,45
14,20191214,2019121415,,Goodnights,,45
0,20191207,201912071,NATO Cafeteria,Cold Opening,,45
1,20191207,201912072,,Monologue,,45
2,20191207,201912073,Surprise Home Makeover: Holiday Edition,Show,,45
3,20191207,201912074,The Roadie,Film,,45
4,20191207,201912075,What Do You Figure Is Goin' On In That House?,Show,,45
5,20191207,201912076,Them Trumps,Commercial,,45
6,20191207,201912077,"""BOP""",Musical Performance,,45
7,20191207,201912078,,Weekend Update,,45
8,20191207,201912079,Hip Hop Carolers,Sketch,,45
9,20191207,2019120710,Hoops,Commercial,,45
10,20191207,2019120711,PottyPM,Commercial,,45
11,20191207,2019120712,Hardware Store,Sketch,,45
12,20191207,2019120713,"""Suge""",Musical Performance,,45
13,20191207,2019120714,Barry's Bootcamp,Sketch,,45
14,20191207,2019120715,,Goodnights,,45
0,20191123,201911231,Press Conference,Cold Opening,,45
1,20191123,201911232,,Monologue,,45
2,20191123,201911233,Heinz Relax,Commercial,,45
3,20191123,201911234,Democratic Debate,Show,,45
4,20191123,201911235,First Thanksgiving,Sketch,,45
5,20191123,201911236,Party Song,Music Video,,45
6,20191123,201911237,Bertucci's Commercial,Sketch,,45
7,20191123,201911238,"""1950""",Musical Performance,,45
8,20191123,201911239,,Weekend Update,,45
9,20191123,2019112310,Cinema Classics,Show,275.0,45
10,20191123,2019112311,"""Hit the Back""",Musical Performance,,45
11,20191123,2019112312,Ventriloquist,Sketch,,45
12,20191123,2019112313,,Goodnights,,45
0,20191116,201911161,Days of our Impeachment,Cold Opening,,45
1,20191116,201911162,,Monologue,,45
2,20191116,201911163,Lunch Run,Sketch,,45
3,20191116,201911164,Doug,Film,,45
4,20191116,201911165,Childbirth Class,Sketch,,45
5,20191116,201911166,Airline Pilots,Sketch,,45
6,20191116,201911167,That's The Game,Film,,45
7,20191116,201911168,"""Lights Up""",Musical Performance,,45
8,20191116,201911169,,Weekend Update,,45
9,20191116,2019111610,,In Memoriam,,45
10,20191116,2019111611,Sara Lee,Sketch,,45
11,20191116,2019111612,Baby Faye and Her Newsboys,Sketch,,45
12,20191116,2019111613,"""Watermelon Sugar""",Musical Performance,,45
13,20191116,2019111614,Funeral DJs,Sketch,,45
14,20191116,2019111615,,Goodnights,,45
0,20191102,201911021,Warren Rally,Cold Opening,,45
1,20191102,201911022,,Monologue,,45
2,20191102,201911023,Factory Workers,Sketch,,45
3,20191102,201911024,Duolingo for Talking to Children,Commercial,,45
4,20191102,201911025,New Paint,Sketch,,45
5,20191102,201911026,Press Conference,Sketch,,45
6,20191102,201911027,Corporate Nightmare,Music Video,,45
7,20191102,201911028,"""Orphans""",Musical Performance,,45
8,20191102,201911029,,Weekend Update,,45
9,20191102,2019110210,Hungry Jury,Sketch,,45
10,20191102,2019110211,Proposition,Sketch,,45
11,20191102,2019110212,"""Everyday Life""",Musical Performance,,45
12,20191102,2019110213,Stargazing,Sketch,,45
13,20191102,2019110214,,Goodnights,,45
0,20191026,201910261,Trump Rally,Cold Opening,,45
1,20191026,201910262,,Monologue,,45
2,20191026,201910263,League of Legends World Championship,Show,,45
3,20191026,201910264,First Impressions Court,Show,,45
4,20191026,201910265,Tasty Toaster Tarts,Commercial,,45
5,20191026,201910266,Graveyard Ghosts,Sketch,,45
6,20191026,201910267,"""Zanies and Fools""",Musical Performance,,45
7,20191026,201910268,,Weekend Update,,45
8,20191026,201910269,Love at First Sight,Sketch,,45
9,20191026,2019102610,Space Mistakes,Commercial,,45
10,20191026,2019102611,Dazzle Designs,Commercial,,45
11,20191026,2019102612,"""Handsome""",Musical Performance,,45
12,20191026,2019102613,Dance Rehearsal,Sketch,,45
13,20191026,2019102614,,Goodnights,,45
0,20191012,201910121,Equality Town Hall,Cold Opening,,45
1,20191012,201910122,,Monologue,,45
2,20191012,201910123,Little Miss Teacher's Friend,Sketch,,45
3,20191012,201910124,Grouch,Commercial,,45
4,20191012,201910125,SoulCycle,Sketch,,45
5,20191012,201910126,"""Cry For Me""",Musical Performance,,45
6,20191012,201910127,,Weekend Update,,45
7,20191012,201910128,Folk Of The Past,Show,,45
8,20191012,201910129,Father-Son Podcasting Microphone,Commercial,,45
9,20191012,2019101210,Sauce,Sketch,,45
10,20191012,2019101211,"""Easy""",Musical Performance,,45
11,20191012,2019101212,Dog Court,Show,,45
12,20191012,2019101213,,Goodnights,,45
0,20191005,201910051,Impeachment Strategy,Cold Opening,,45
1,20191005,201910052,,Monologue,,45
2,20191005,201910053,What's Wrong With This Picture,Game Show,300.0,45
3,20191005,201910054,Love Island,Commercial,,45
4,20191005,201910055,7 WANU Mid-Day,Show,,45
5,20191005,201910056,The War In Words,Show,298.0,45
6,20191005,201910057,"""Lover""",Musical Performance,,45
7,20191005,201910058,,Weekend Update,,45
8,20191005,201910059,Royal Romance,Show,,45
9,20191005,2019100510,"""False God""",Musical Performance,,45
10,20191005,2019100511,State Line Bar,Sketch,,45
11,20191005,2019100512,,Goodnights,,45
0,20190928,201909281,Impeachment,Cold Opening,,45
1,20190928,201909282,,Monologue,,45
2,20190928,201909283,Impeachment Town Hall,Show,,45
3,20190928,201909284,Sun's Out Nevada!,Show,,45
4,20190928,201909285,"""Bad Guy""",Musical Performance,,45
5,20190928,201909286,,Weekend Update,,45
6,20190928,201909287,Locker Room,Sketch,,45
7,20190928,201909288,Inside The Beltway,Show,,45
8,20190928,201909289,Downton Abbey (II),Commercial,,45
9,20190928,2019092810,"""I Love You""",Musical Performance,,45
10,20190928,2019092811,Dad,Music Video,,45
11,20190928,2019092812,Chickham's Apple Farm,Commercial,,45
12,20190928,2019092813,,Goodnights,,45
0,20190518,201905181,Don't Stop Me Now,Cold Opening,,44
1,20190518,201905182,,Monologue,,44
2,20190518,201905183,A Journey Through Time,Sketch,,44
3,20190518,201905184,Grace and Frankie Rap,Music Video,,44
4,20190518,201905185,What's Wrong With This Picture,Game Show,300.0,44
5,20190518,201905186,"""Jealous"", ""You Stay""",Musical Performance,,44
6,20190518,201905187,,Weekend Update,,44
7,20190518,201905188,Music Box,Sketch,,44
8,20190518,201905189,The View,Show,162.0,44
9,20190518,2019051810,"""Just Us"", ""Weather the Storm"", ""Higher""",Musical Performance,,44
10,20190518,2019051811,Leslie & Kyle,Film,,44
11,20190518,2019051812,Ouija Board,Sketch,,44
12,20190518,2019051813,,Goodnights,,44
0,20190511,201905111,Meet The Press,Cold Opening,185.0,44
1,20190511,201905112,,Monologue,,44
2,20190511,201905113,Etiquette Lesson,Sketch,,44
3,20190511,201905114,The Perfect Mother,Film,,44
4,20190511,201905115,Cinema Classics,Show,275.0,44
5,20190511,201905116,Chopped,Show,,44
6,20190511,201905117,Judge Court,Show,,44
7,20190511,201905118,"""Sucker""",Musical Performance,,44
8,20190511,201905119,,Weekend Update,,44
9,20190511,2019051110,Beauty and the Beast,Show,,44
10,20190511,2019051111,Tracy,Show,,44
11,20190511,2019051112,"""Cool"", ""Burnin' Up""",Musical Performance,,44
12,20190511,2019051113,"Wait A Second, That Shouldn't Be There!",Show,,44
13,20190511,2019051114,,Goodnights,,44
0,20190504,201905041,Family Feud,Cold Opening,278.0,44
1,20190504,201905042,,Monologue,,44
2,20190504,201905043,CNN Special Report,Show,,44
3,20190504,201905044,Holes,Music Video,,44
4,20190504,201905045,Romano Tours,Commercial,,44
5,20190504,201905046,Sandler Family Reunion,Sketch,,44
6,20190504,201905047,Rectix,Commercial,,44
7,20190504,201905048,"""If I Can't Have You""",Musical Performance,,44
8,20190504,201905049,,Weekend Update,,44
9,20190504,2019050410,Last Call,Sketch,,44
10,20190504,2019050411,"""In My Blood""",Musical Performance,,44
11,20190504,2019050412,Chris Farley Song,Miscellaneous,,44
12,20190504,2019050413,,Goodnights,,44
0,20190413,201904131,Jail Cell,Cold Opening,,44
1,20190413,201904132,,Monologue,,44
2,20190413,201904133,Posters,Sketch,,44
3,20190413,201904134,Fashion Coward,Commercial,,44
4,20190413,201904135,The View,Show,162.0,44
