sid,eid,tid,aid,actorType
8,7,1982112011,JuLD,cast
8,7,1982112011,EdMu,cast
8,7,198211208,Ed Asner,filmed
8,7,198211208,EdMu,cast
8,7,198211207,Squeeze,music
8,7,1982112010,BrHa,cast
8,7,1982112010,TiKa,cast
8,7,1982112010,JoPi,cast
8,7,1982112012,MaGr,cast
8,7,198211206,Drew Barrymore,host
8,7,198211206,RoDu,cast
8,7,198211206,MaGr,cast
8,7,198211206,JoPi,cast
8,7,198211205,GaKr,cast
8,7,198211204,Drew Barrymore,host
8,7,198211204,MaGr,cast
8,7,198211204,TiKa,cast
8,7,198211204,GaKr,cast
8,7,198211204,EdMu,cast
8,7,198211201,Drew Barrymore,host
8,7,198211201,RoDu,cast
8,7,198211201,MaGr,cast
8,7,198211201,BrHa,cast
8,7,198211201,TiKa,cast
8,7,198211201,GaKr,cast
8,7,198211201,JuLD,cast
8,7,198211201,EdMu,cast
8,7,198211201,JoPi,cast
8,4,1982102313,Men At Work,music
8,4,1982102312,Howard Hesseman,host
8,4,1982102312,RoDu,cast
8,4,1982102312,TiKa,cast
8,4,1982102312,GaKr,cast
8,4,1982102312,JoPi,cast
8,7,198211202,Drew Barrymore,host
8,7,198211202,TiKa,cast
8,4,1982102311,Bill Irwin,guest
8,4,198210239,BrHa,cast
8,4,198210239,TiKa,cast
8,4,198210239,JuLD,cast
8,4,198210239,DoPa,crew
8,4,198210239,JoPi,cast
8,4,198210238,Howard Hesseman,host
8,4,198210238,MaGr,cast
8,4,198210238,TiKa,cast
8,4,198210238,JuLD,cast
8,4,198210238,EdMu,cast
8,4,198210237,Howard Hesseman,host
8,4,198210237,GaKr,cast
8,4,198210236,Men At Work,music
8,4,198210234,Howard Hesseman,host
8,4,198210234,BrHa,cast
8,4,198210234,JuLD,cast
8,4,198210234,EdMu,cast
8,4,198210235,GaKr,cast
8,4,198210235,JoPi,cast
8,4,198210232,Howard Hesseman,host
8,4,198210232,Milan Melvin,cameo
8,4,198210231,Howard Hesseman,host
8,4,198210231,Milan Melvin,cameo
8,4,198210231,Susan Saint James,cameo
8,4,198210231,JoDi,crew
8,4,198210231,RoDu,cast
8,4,198210231,MaGr,cast
8,4,198210231,TiKa,cast
8,4,198210231,GaKr,cast
8,4,198210231,AnMu,crew
8,3,1982100913,Ron Howard,host
8,3,1982100913,MaGr,cast
8,3,1982100913,BrHa,cast
8,3,1982100913,TiKa,cast
8,3,1982100913,GaKr,cast
8,3,1982100913,EdMu,cast
8,4,198210231,EdMu,cast
8,4,198210231,JoPi,cast
8,4,198210233,RoDu,cast
8,4,198210233,MaGr,cast
8,4,198210233,JuLD,cast
8,4,198210233,JoPi,cast
8,3,1982100911,GaKr,cast
8,3,1982100911,JuLD,cast
8,3,1982100911,JoPi,cast
8,3,1982100910,The Clash,music
8,3,1982100912,RoSu,crew
8,3,198210098,Ron Howard,host
8,3,198210098,EdMu,cast
8,3,198210094,EdMu,cast
8,3,198210097,Rex Reed,filmed
8,3,198210097,JoPi,cast
8,3,198210096,Harry Anderson,guest
8,3,198210095,Ron Howard,host
8,3,198210095,RoDu,cast
8,3,198210095,JoPi,cast
8,3,198210093,Ron Howard,host
8,3,198210093,Andy Griffith,filmed
8,3,198210093,RoDu,cast
8,3,198210093,BrHa,cast
8,3,198210092,Ron Howard,host
8,8,1982120413,RoDu,cast
8,3,198210093,GaKr,cast
8,3,198210093,EdMu,cast
8,3,198210093,JoPi,cast
8,8,1982120410,Laura Branigan,music
8,8,1982120412,Tom Smothers,host
8,8,1982120412,Dick Smothers,host
8,8,1982120411,EdMu,cast
8,8,1982120411,JoPi,cast
8,8,198212047,RoDu,cast
8,8,198212047,MaGr,cast
8,8,198212047,BrHa,cast
8,8,198212047,TiKa,cast
8,8,198212047,GaKr,cast
8,8,198212047,JuLD,cast
8,8,198212047,AnMu,crew
8,8,198212047,EdMu,cast
8,8,198212047,JoPi,cast
8,8,198212049,BrHa,cast
8,8,198212049,GaKr,cast
8,8,198212049,Lawrence K. Grossman,cameo
8,8,198212049,RoDu,cast
8,8,198212049,TiKa,cast
8,8,198212048,Tom Smothers,host
8,8,198212048,Dick Smothers,host
8,8,198212048,RoDu,cast
8,8,198212048,MaGr,cast
8,8,198212048,BrHa,cast
8,8,198212048,TiKa,cast
8,8,198212048,GaKr,cast
8,8,198212048,JuLD,cast
8,8,198212045,Tom Smothers,host
8,8,198212045,Dick Smothers,host
8,8,198212044,Tom Smothers,host
8,8,198212044,MaGr,cast
8,8,198212044,TiKa,cast
8,8,198212044,GaKr,cast
8,8,198212044,EdMu,cast
8,8,198212044,JoPi,cast
8,8,198212042,Tom Smothers,host
8,8,198212042,Dick Smothers,host
8,5,1982103011,JoPi,cast
8,5,1982103010,Michael Keaton,host
8,5,1982103010,Michael Palin,guest
8,5,1982103010,MaGr,cast
8,5,1982103010,JuLD,cast
8,5,1982103012,The New Joe Jackson Band,music
8,5,198210309,Michael Keaton,host
8,5,198210309,MaGr,cast
8,5,198210309,TiKa,cast
8,5,198210309,GaKr,cast
8,5,198210309,JuLD,cast
8,5,198210309,EdMu,cast
8,5,198210309,JoPi,cast
8,5,198210309,ClSm,crew
8,5,198210308,BrHa,cast
8,5,198210308,MaGr,cast
8,5,198210308,EdMu,cast
8,5,198210306,TiKa,cast
8,5,198210306,JuLD,cast
8,5,198210307,The New Joe Jackson Band,music
8,5,198210303,MaGr,cast
8,5,198210303,BrHa,cast
8,5,198210303,TiKa,cast
8,5,198210303,JuLD,cast
8,5,198210303,JoPi,cast
8,5,198210302,Michael Keaton,host
8,5,198210301,Michael Keaton,host
8,5,198210301,Michael Palin,guest
8,5,198210301,JoDi,crew
8,5,198210301,GaKr,cast
8,5,198210301,EdMu,cast
9,19,1984051213,The Cars,music
9,19,1984051214,Edwin Newman,host
9,19,1984051214,JiBe,cast
9,19,1984051214,JuLD,cast
9,19,1984051215,Joel Hodgson,guest
9,19,1984051216,Billy Crystal,host
9,19,1984051216,Ed Koch,host
9,19,1984051216,Edwin Newman,host
9,19,1984051216,Father Guido Sarducci,host
9,19,1984051216,Betty Thomas,host
9,19,1984051216,JiBe,cast
9,19,1984051216,RoDu,cast
9,18,198405058,Spinal Tap,music
9,19,1984051216,GaKr,cast
9,19,1984051216,JuLD,cast
9,19,1984051216,JoPi,cast
9,18,1984050517,Barry Bostwick,host
9,18,1984050517,JiBe,cast
9,18,1984050516,Spinal Tap,music
9,17,1984041415,Eleanor McGovern,cameo
9,17,1984041414,Madness,music
9,17,1984041413,George McGovern,host
9,17,1984041413,RoDu,cast
9,17,1984041413,GaKr,cast
9,13,1984021817,The Fixx,music
9,13,1984021813,JoPi,cast
9,13,1984021813,TiKa,cast
9,13,1984021812,The Fixx,music
9,13,1984021818,EdMu,cast
9,13,1984021816,RoDu,cast
9,13,1984021816,BrHa,cast
9,13,1984021816,TiKa,cast
9,13,1984021816,GaKr,cast
9,13,1984021815,Jamie Lee Curtis,host
9,13,1984021815,TiKa,cast
9,13,1984021814,Jamie Lee Curtis,host
9,13,1984021814,JiBe,cast
9,13,1984021814,AnBr,crew
9,13,1984021814,RoDu,cast
9,13,1984021814,ClSm,crew
9,13,1984021815,GaKr,cast
9,11,1984012810,Don Rickles,host
9,11,1984012810,TiKa,cast
9,11,198401289,Don Rickles,host
9,11,198401289,RoDu,cast
9,11,198401289,MaGr,cast
9,11,198401289,BrHa,cast
9,11,198401289,GaKr,cast
9,11,198401289,JuLD,cast
9,11,198401289,JoPi,cast
9,11,198401288,Billy Idol,music
9,11,1984012814,MaGr,cast
9,11,1984012814,JoPi,cast
9,11,1984012813,Billy Idol,music
9,11,1984012812,Don Rickles,host
9,11,1984012812,MaGr,cast
9,11,1984012812,BrHa,cast
9,11,1984012812,TiKa,cast
9,11,1984012812,GaKr,cast
9,11,1984012812,JoPi,cast
9,11,1984012811,MaGr,cast
9,11,1984012811,BrHa,cast
9,11,1984012811,GaKr,cast
9,11,1984012811,JuLD,cast
9,11,198401285,RoDu,cast
9,11,198401285,BrHa,cast
9,11,198401285,TiKa,cast
9,11,198401285,GaKr,cast
9,11,198401285,JuLD,cast
9,11,198401285,JoPi,cast
9,11,198401284,Don Rickles,host
9,11,198401284,TiKa,cast
9,11,198401282,Don Rickles,host
9,11,198401282,Brandon Tartikoff,cameo
9,11,198401282,John Madden,cameo
9,11,198401282,DaWi,crew
9,11,198401281,JoPi,cast
9,11,198401287,Don Rickles,host
9,11,198401287,JiBe,cast
9,11,198401287,TiKa,cast
9,11,198401287,JoPi,cast
9,11,198401286,Dr. Joyce Brothers,cameo
9,11,198401286,TiKa,cast
9,11,198401286,EdMu,cast
9,11,198401286,JoPi,cast
9,11,198401283,Stevie Wonder,filmed
9,11,198401283,JoPi,cast
9,13,1984021811,Jamie Lee Curtis,host
9,13,1984021811,JiBe,cast
9,13,1984021811,JoPi,cast
9,13,1984021810,GaKr,cast
9,13,1984021810,JoPi,cast
9,13,198402186,James Pickens Jr.,filmed
9,13,198402185,RoDu,cast
9,13,198402185,MaGr,cast
9,13,198402185,BrHa,cast
9,13,198402185,TiKa,cast
9,13,198402185,GaKr,cast
9,13,198402185,JuLD,cast
9,13,198402185,EdMu,cast
9,13,198402185,JoPi,cast
9,13,198402189,Joel Hodgson,guest
9,13,198402184,Jamie Lee Curtis,host
9,13,198402184,JiBe,cast
9,13,198402184,AnBr,crew
9,13,198402184,BrHa,cast
9,13,198402184,TiKa,cast
9,13,198402184,GaKr,cast
9,13,198402188,Jamie Lee Curtis,host
9,13,198402188,JuLD,cast
9,13,198402188,EdMu,cast
9,13,198402187,Jamie Lee Curtis,host
9,13,198402187,MaGr,cast
9,13,198402187,BrHa,cast
9,13,198402187,TiKa,cast
9,13,198402187,GaKr,cast
9,13,198402187,JuLD,cast
9,13,198402181,JiBe,cast
9,14,1984022517,RoDu,cast
9,14,1984022517,MaGr,cast
9,13,198402182,Jamie Lee Curtis,host
9,13,198402182,EdMu,cast
9,14,1984022516,Harry Anderson,guest
9,14,1984022515,Edwin Newman,host
9,14,1984022515,JiBe,cast
9,14,1984022515,MaGr,cast
9,14,1984022515,TiKa,cast
9,14,1984022515,GaKr,cast
9,14,1984022514,EdMu,cast
9,14,1984022514,JoPi,cast
9,14,1984022513,Edwin Newman,host
9,14,1984022513,BrHa,cast
9,14,1984022513,GaKr,cast
9,14,1984022512,Kool & The Gang,music
9,14,1984022511,Edwin Newman,host
9,14,1984022511,JiBe,cast
9,14,1984022511,BrHa,cast
9,14,1984022511,GaKr,cast
9,14,1984022511,JuLD,cast
9,14,1984022510,Edwin Newman,host
9,14,1984022510,JiBe,cast
9,14,1984022510,MaGr,cast
9,14,1984022510,TiKa,cast
9,14,198402258,Kool & The Gang,music
9,14,198402255,Edwin Newman,host
9,14,198402255,RoDu,cast
9,14,198402255,JuLD,cast
9,14,198402254,EdMu,cast
9,14,198402259,Edwin Newman,host
9,14,198402259,EdMu,cast
9,14,198402257,Edwin Newman,host
9,14,198402257,BrHa,cast
9,14,198402257,TiKa,cast
9,14,198402257,GaKr,cast
9,14,198402257,JuLD,cast
9,14,198402257,JoPi,cast
9,14,198402251,Edwin Newman,host
9,14,198402251,JoDi,crew
9,14,198402251,EdMu,cast
9,14,198402251,JoPi,cast
9,15,1984031713,Al Jarreau,music
9,14,198402253,Robin Williams,filmed
9,14,198402253,JoPi,cast
9,14,198402252,Edwin Newman,host
9,14,198402252,AlSi,crew
9,15,1984031710,Al Jarreau,music
9,15,1984031714,Billy Crystal,host
9,15,1984031714,DaWi,crew
9,15,1984031712,RoDu,cast
9,15,1984031712,MaGr,cast
9,15,1984031712,JuLD,cast
9,15,198403177,TiKa,cast
9,15,198403173,MaGr,cast
9,15,198403173,JoPi,cast
9,15,198403172,Billy Crystal,host
9,15,198403175,RoDu,cast
9,15,198403175,MaGr,cast
9,15,198403175,TiKa,cast
9,15,198403175,EdMu,cast
9,15,198403175,JoPi,cast
9,15,198403174,Billy Crystal,host
9,15,198403174,JiBe,cast
9,15,198403174,RoDu,cast
9,15,198403174,BrHa,cast
9,15,198403174,TiKa,cast
9,15,198403174,GaKr,cast
9,15,198403174,JuLD,cast
9,15,198403174,ClSm,crew
9,15,198403171,Ed Koch,cameo
9,15,198403171,AnBr,crew
9,15,198403171,MaGr,cast
9,15,198403171,BrHa,cast
9,15,198403171,NaHe,crew
9,15,198403171,TiKa,cast
9,15,198403171,GaKr,cast
9,15,198403171,JuLD,cast
9,15,198403171,AnSm,crew
9,16,1984040717,TiKa,cast
9,16,1984040717,JoPi,cast
9,16,1984040715,JiBe,cast
9,16,1984040715,RbRi,crew
9,16,1984040713,Michael Douglas,host
9,16,1984040713,RoDu,cast
9,16,1984040713,TiKa,cast
9,16,1984040712,RoDu,cast
9,16,1984040712,MaGr,cast
9,16,1984040712,BrHa,cast
9,16,1984040712,NaHe,crew
9,16,1984040711,Michael Douglas,host
9,16,1984040711,TiKa,cast
9,16,1984040711,GaKr,cast
9,16,1984040716,Deniece Williams,music
9,16,1984040716,GeWa,crew
9,16,1984040716,BuWi,crew
9,16,1984040712,TiKa,cast
9,16,1984040712,GaKr,cast
9,16,1984040712,JuLD,cast
9,16,1984040712,JoPi,cast
9,16,198404077,JiBe,cast
9,16,198404077,AnBr,crew
9,16,198404077,TiKa,cast
9,16,198404077,FrKo,crew
9,16,198404077,GaKr,cast
9,16,198404076,JiBe,cast
9,16,198404076,MaGr,cast
9,16,198404076,BrHa,cast
9,16,198404076,TiKa,cast
9,16,198404076,GaKr,cast
9,16,198404076,JuLD,cast
9,16,198404075,JiBe,cast
9,16,198404075,BrHa,cast
9,16,198404075,TiKa,cast
9,16,198404075,GaKr,cast
9,16,198404075,JuLD,cast
9,16,198404079,Deniece Williams,music
9,16,198404079,GeWa,crew
9,16,198404079,BuWi,crew
9,16,198404073,JuLD,cast
9,16,198404078,Michael Douglas,host
9,16,198404078,BoCh,crew
9,16,198404078,MaGr,cast
9,16,198404078,TiKa,cast
9,16,198404074,MaGr,cast
9,16,198404074,GaKr,cast
9,16,1984040710,JuLD,cast
9,17,198404149,George McGovern,host
9,17,198404149,GaKr,cast
9,17,198404149,TiKa,cast
9,17,198404149,JoPi,cast
9,17,1984041410,George McGovern,host
9,17,1984041410,MaGr,cast
9,17,1984041410,BrHa,cast
9,17,1984041410,TiKa,cast
9,17,1984041410,GaKr,cast
9,17,1984041410,JuLD,cast
9,17,1984041410,JoPi,cast
9,16,198404072,Michael Douglas,host
9,16,198404071,Michael Douglas,host
9,16,198404071,JoDi,crew
9,16,198404071,RoDu,cast
9,16,198404071,MaGr,cast
9,16,198404071,TiKa,cast
9,16,198404071,JoPi,cast
9,17,1984041412,George McGovern,host
9,17,1984041412,BrHa,cast
9,17,1984041412,JoPi,cast
9,17,1984041411,Madness,music
9,17,198404148,Frankie Pace,cameo
9,17,198404147,JiBe,cast
9,17,198404147,MaGr,cast
9,17,198404147,TiKa,cast
9,17,198404147,JuLD,cast
9,17,198404147,EdMu,cast
9,17,198404142,George McGovern,host
9,17,198404144,George McGovern,host
9,17,198404144,Clara Peller,cameo
9,17,198404144,MaGr,cast
9,17,198404144,GaKr,cast
9,17,198404144,JuLD,cast
9,17,198404144,JoPi,cast
9,17,198404143,George McGovern,host
9,17,198404143,JiBe,cast
9,17,198404143,JoPi,cast
9,18,1984050515,TiKa,cast
9,17,198404146,George McGovern,host
9,18,1984050511,Barry Bostwick,host
9,18,1984050511,JiBe,cast
9,18,1984050511,RoDu,cast
9,18,1984050511,BrHa,cast
9,18,1984050511,JuLD,cast
9,18,1984050513,A. Whitney Brown,cameo
9,17,198404145,JiBe,cast
9,17,198404145,MaGr,cast
9,17,198404145,TiKa,cast
9,17,198404141,TiKa,cast
9,17,198404141,JoPi,cast
9,18,1984050512,RoDu,cast
9,18,1984050512,JoPi,cast
9,18,198405055,Barry Bostwick,host
9,18,198405055,BrHa,cast
9,18,198405055,TiKa,cast
9,18,198405055,GaKr,cast
9,18,198405055,JuLD,cast
9,18,198405055,JoPi,cast
9,18,198405054,JiBe,cast
9,18,198405054,BrHa,cast
9,18,198405054,JoPi,cast
9,18,1984050510,Barry Bostwick,host
9,18,1984050510,Soupy Sales,cameo
9,18,1984050510,RoDu,cast
9,18,1984050510,MaGr,cast
9,18,1984050510,BrHa,cast
9,18,1984050510,TiKa,cast
9,18,198405053,MaGr,cast
9,18,198405053,GaKr,cast
9,18,1984050510,GaKr,cast
9,18,1984050510,JuLD,cast
9,18,1984050510,AnSm,crew
9,18,198405057,Barry Bostwick,host
9,18,198405057,Spinal Tap,music
9,19,1984051211,Edwin Newman,host
9,19,1984051211,MaGr,cast
9,19,1984051211,TiKa,cast
9,18,198405051,Barry Bostwick,host
9,18,198405051,MaGr,cast
9,18,198405051,JuLD,cast
9,18,198405056,RoDu,cast
9,18,198405056,GaKr,cast
9,18,198405056,JuLD,cast
9,18,198405056,JoPi,cast
9,19,1984051210,Betty Thomas,host
9,19,1984051210,RoDu,cast
9,19,1984051210,MaGr,cast
9,19,1984051210,TiKa,cast
9,19,1984051210,GaKr,cast
9,18,198405052,Barry Bostwick,host
9,19,1984051212,Father Guido Sarducci,host
9,19,1984051212,Timothy Hutton,cameo
9,19,198405129,The Cars,music
9,19,1984051210,JuLD,cast
9,19,1984051210,JoPi,cast
9,19,198405128,Edwin Newman,host
9,19,198405124,Ed Koch,host
9,19,198405124,TiKa,cast
9,19,198405123,Father Guido Sarducci,host
9,19,198405123,JiBe,cast
9,19,198405123,BrHa,cast
9,19,198405126,Father Guido Sarducci,host
9,19,198405122,Billy Crystal,host
9,19,198405122,Ed Koch,host
9,19,198405122,Edwin Newman,host
9,19,198405122,Father Guido Sarducci,host
9,19,198405122,Betty Thomas,host
9,19,198405127,JiBe,cast
9,19,198405127,RoDu,cast
9,19,198405127,BrHa,cast
9,19,198405127,GaKr,cast
9,19,198405127,JuLD,cast
9,19,198405125,MaGr,cast
9,19,198405125,BrHa,cast
9,19,198405125,JuLD,cast
9,19,198405125,JoPi,cast
10,14,198502161,Pamela Sue Martin,host
10,14,198502161,JiBe,cast
10,13,1985020915,Carol Burnett,cameo
10,13,1985020915,RiHa,cast
10,11,1985011910,Roy Scheider,host
10,11,1985011910,JiBe,cast
10,11,1985011910,RiHa,cast
10,11,1985011910,MaSh,cast
10,11,1985011913,Billy Ocean,music
10,11,1985011912,AnBr,crew
10,11,1985011912,MaGr,cast
10,11,1985011912,KeKe,crew
10,11,1985011912,GaKr,cast
10,11,1985011912,JuLD,cast
10,11,1985011912,PaSt,cast
10,11,1985011911,Billy Ocean,music
10,11,198501199,Roy Scheider,host
10,11,198501199,BiCr,cast
10,11,198501198,ChGu,cast
10,11,198501198,MaGr,cast
10,11,198501198,RiHa,cast
10,11,198501198,PaSt,cast
10,11,198501198,JiBe,cast
10,11,198501197,MaGr,cast
10,11,198501197,GaKr,cast
10,11,198501197,JuLD,cast
10,11,198501197,PaSt,cast
10,10,1985011211,Kathleen Turner,host
10,10,1985011211,AnBr,crew
10,10,1985011211,LaDa,crew
10,10,1985011211,RoSu,crew
10,10,1985011211,MaSh,cast
10,10,1985011215,Kathleen Turner,host
10,10,1985011214,HaSh,cast
10,10,1985011214,MaSh,cast
10,10,1985011213,John Waite,music
10,10,1985011212,ChGu,cast
10,10,1985011212,GaKr,cast
10,10,1985011212,RiHa,cast
10,10,1985011210,BiCr,cast
10,10,198501129,Kathleen Turner,host
10,10,198501129,BiCr,cast
10,10,198501129,ChGu,cast
10,10,198501129,MaSh,cast
10,10,198501127,BiCr,cast
10,10,198501127,MaGr,cast
10,10,198501127,ChGu,cast
10,10,198501127,JuLD,cast
10,10,198501127,MaSh,cast
10,10,198501126,GaKr,cast
10,10,198501126,PaSt,cast
10,10,198501125,Kathleen Turner,host
10,10,198501125,BiCr,cast
10,10,198501125,ChGu,cast
10,10,198501125,RiHa,cast
10,10,198501125,GaKr,cast
10,10,198501124,BiCr,cast
10,10,198501124,ChGu,cast
10,10,198501123,HaSh,cast
10,10,198501128,MaGr,cast
10,10,198501128,HaSh,cast
10,10,198501122,Kathleen Turner,host
10,10,198501122,DaWi,crew
10,10,198501121,BiCr,cast
10,10,198501121,RiHa,cast
10,10,198501121,RbRi,crew
10,11,198501196,MaGr,cast
10,11,198501196,GaKr,cast
10,11,198501195,Steven Wright,guest
10,11,198501194,Roy Scheider,host
10,11,198501194,JiBe,cast
10,11,198501194,AnBr,crew
10,11,198501194,MaGr,cast
10,11,198501194,RiHa,cast
10,11,198501194,GaKr,cast
10,11,198501194,RbRi,crew
10,11,198501193,BiCr,cast
10,11,198501193,ChGu,cast
10,11,198501192,Roy Scheider,host
10,11,198501191,PaSt,cast
10,12,1985020215,Tina Turner,music
10,12,1985020214,JiBe,cast
10,12,1985020214,LaDa,crew
10,12,1985020214,MaGr,cast
10,12,1985020214,ChGu,cast
10,12,1985020214,RiHa,cast
10,12,1985020214,KeKe,crew
10,12,1985020214,GaKr,cast
10,12,1985020214,JuLD,cast
10,12,1985020212,Tina Turner,music
10,12,1985020211,ChGu,cast
10,12,1985020211,RiHa,cast
10,12,1985020211,MaSh,cast
10,12,1985020211,JiBe,cast
10,12,198502026,Alex Karras,host
10,12,198502026,BiCr,cast
10,12,198502026,MaGr,cast
10,12,198502026,GaKr,cast
10,12,1985020210,Alex Karras,host
10,12,1985020210,BiCr,cast
10,12,1985020210,ChGu,cast
10,12,1985020210,GaKr,cast
10,12,1985020210,JuLD,cast
